title,url,category,instructor,platform,search_corpus
Fitting Statistical Models to Data with Python,https://www.coursera.org/learn/fitting-statistical-models-data-python,Data Science,"['bkg', '~34237657', '~34919608']",Coursera,"fitting statistical models to data with python data science regression analysis, statistical programming, data visualization software, probability distribution, statistical methods, jupyter, exploratory data analysis, statistical modeling, statistical inference, python programming, predictive modeling, bayesian statistics, statistical software, correlation analysis"
Fixing Healthcare Delivery,https://www.coursera.org/learn/fixing-healthcare,Health,['fredsouthwick'],Coursera,"fixing healthcare delivery health root cause analysis, organizational change, lean manufacturing, patient safety, accident prevention, continuous improvement process, quality improvement, leadership, health systems, waste minimization, team management, change management"
Fixing Healthcare Delivery 2.0: Advanced Lean,https://www.coursera.org/learn/fixing-healthcare-delivery-advanced-lean,Health,['fredsouthwick'],Coursera,"fixing healthcare delivery 2.0: advanced lean health lean methodologies, continuous quality improvement (cqi), systems analysis, patient-centered care, healthcare industry knowledge, scientific methods, medical management, patient safety, health systems, patient flow"
FL Studio Basics,https://www.coursera.org/learn/fl-studio-basics,Arts And Humanities,['~48186002'],Coursera,"fl studio basics arts and humanities creativity, editing, data import/export, file management, electronic media, automation, media production, musical composition, music performance, music"
Flight mechanics - Propulsive balance and energy,https://www.coursera.org/learn/flight-mecha-balance,Physical Science And Engineering,['eric-poquillon'],Coursera,"flight mechanics - propulsive balance and energy physical science and engineering engineering calculations, mechanics, physics, engineering analysis, thermal management, mathematical modeling"
Fundamentals of Fluid Power,https://www.coursera.org/learn/fluid-power,Physical Science And Engineering,"['willdurfee', 'jamesvandeven']",Coursera,"fundamentals of fluid power physical science and engineering automation engineering, simulation and simulation software, schematic diagrams, hydraulics, mechanical engineering, matlab, engineering analysis, control systems, engineering, mechanics, physics, engineering calculations"
Fundamentals of Fluid-Solid Interactions,https://www.coursera.org/learn/fluid-solid-interaction,Physical Science And Engineering,"['emmanueldelangre', '~15630275', 'olivier']",Coursera,"fundamentals of fluid-solid interactions physical science and engineering applied mathematics, vibrations, simulation and simulation software, mechanics, hydraulics, chemical and biomedical engineering, civil engineering, mathematical modeling, engineering, biomedical engineering, environmental engineering, mechanical engineering"
"Flutter and Dart: Developing iOS, Android, and Mobile Apps",https://www.coursera.org/learn/flutter-and-dart-developing-ios-android-mobile-apps,Computer Science,"['upkar-lidder', '~96619963', 'ibm-skills-network']",Coursera,"flutter and dart: developing ios, android, and mobile apps computer science software development, android development, software development tools, cross platform development, development environment, mobile development, debugging, flutter (software), application programming interface (api), user interface (ui), application development, json, user interface and user experience (ui/ux) design, ios development, apple ios"
Follow a Machine Learning Workflow,https://www.coursera.org/learn/follow-machine-learning-workflow,Data Science,['stacey-mcbrine'],Coursera,"follow a machine learning workflow data science data analysis, process management, exploratory data analysis, machine learning, mlops (machine learning operations), predictive modeling, artificial intelligence and machine learning (ai/ml), applied machine learning, data modeling, data collection, machine learning algorithms, data cleansing, statistical analysis, workflow management"
"Textual Elements of Design: Fonts, Typography, and Spacing",https://www.coursera.org/learn/fonts-typography-spacing,Arts And Humanities,['lori-poole'],Coursera,"textual elements of design: fonts, typography, and spacing arts and humanities graphic and visual design software, design elements and principles, color theory, graphic and visual design, design software, typography, graphic design, design"
Stanford Introduction to Food and Health,https://www.coursera.org/learn/food-and-health,Health,['madam'],Coursera,"stanford introduction to food and health health nutrition and diet, behavioral health, food and beverage, meal planning and preparation, health informatics, health education, chronic diseases, cooking"
Food & Beverage Management,https://www.coursera.org/learn/food-beverage-management,Business,['troilo'],Coursera,"food & beverage management business brand management, food and beverage, restaurant management, value propositions, growth strategies, marketing, business strategy, hospitality management, competitive analysis, product quality (qa/qc), market dynamics, global marketing, consumer behaviour"
Rebuilding Our Relationship with Food,https://www.coursera.org/learn/food-relationship-mindful-eating-health,Health,['madam'],Coursera,"rebuilding our relationship with food health behavioral health, mindfulness, nutrition and diet, decision making, cultural diversity, food and beverage, self-awareness, empowerment, compassion"
Introduction to Food and Our Environment,https://www.coursera.org/learn/food-sustainability-environment-planet-health,Health,['madam'],Coursera,"introduction to food and our environment health sustainability standards, nutrition and diet, emerging technologies, environmental science, sustainable development, pollution prevention, sustainable technologies, environment, water sustainability, climate change mitigation, food and beverage, waste minimization, innovation"
An Introduction to the U.S. Food System: Perspectives from Public Health,https://www.coursera.org/learn/food-system,Health,"['~594241', '~2286634', '~687518']",Coursera,"an introduction to the u.s. food system: perspectives from public health health sustainability standards, systems thinking, sustainable development, social justice, community health, food and beverage, nutrition and diet, natural resource management, health promotion, public health, environmental issue, environmental policy, health policy"
Food and Wine Pairing,https://www.coursera.org/learn/food-wine-pairing,Personal Development,['~157337275'],Coursera,"food and wine pairing personal development cooking, meal planning and preparation, planning, oral expression, bartending, verbal communication skills, strategic planning, hospitality"
Food Ethics,https://www.coursera.org/learn/foodethics,Arts And Humanities,['andrewchignell'],Coursera,"food ethics arts and humanities international relations, health disparities, cultural diversity, sustainable development, food and beverage, nutrition and diet, policy analysis, sustainability standards, environmental issue, ethical standards and conduct, social justice"
Football: More than a Game,https://www.coursera.org/learn/football-more-than-a-game,Social Sciences,['~118721698'],Coursera,"football: more than a game social sciences social justice, international relations, cultural responsiveness, economic development, data analysis, governance, cultural diversity, finance, world history, socioeconomics, diplomacy, media and communications, diversity awareness, community development, electronic media"
Forecasting Financial Statements & Valuation for Accountants,https://www.coursera.org/learn/forecasting-financial-statements-business-valuation-accountants,Business,"['wbe', 'brian-hamm', 'nerissa-brown']",Coursera,"forecasting financial statements & valuation for accountants business trend analysis, financial forecasting, financial statement analysis, generally accepted accounting principles (gaap), business valuation, financial modeling, financial accounting, financial reporting, cash flows, finance, financial analysis"
Forensic Accounting and Fraud Examination,https://www.coursera.org/learn/forensic-accounting,Business,"['johngill', 'richardriley', 'richarddull']",Coursera,"forensic accounting and fraud examination business compliance reporting, investigation, ethical standards and conduct, accounting, big data, analytics, data analysis software, cybersecurity, fraud detection, anomaly detection, financial auditing, internal controls"
Introduction to Forensic Science,https://www.coursera.org/learn/forensic-science,Health,['~4002436'],Coursera,"introduction to forensic science health investigation, laboratory testing, pharmacology, criminal investigation and forensics, pathology, analytical chemistry, molecular biology, hematology, biochemistry, chemistry, scientific methods, case studies"
Forensic Science: DNA Analysis,https://www.coursera.org/learn/forensic-science-dna-analysis,Health,['~185289558'],Coursera,"forensic science: dna analysis health molecular biology, emerging technologies, specimen collection, image analysis, laboratory techniques, scientific methods, healthcare ethics, biostatistics, analytical testing, biology, criminal investigation and forensics"
Forest Carbon Credits and Initiatives,https://www.coursera.org/learn/forest-carbon-credits-and-initiatives,Physical Science And Engineering,"['~157129123', '~157119765', '~157193621', '~156931978', '~147753006']",Coursera,"forest carbon credits and initiatives physical science and engineering sustainability standards, market dynamics, cost benefit analysis, environment and resource management, verification and validation, climate change mitigation, sustainability reporting, project management, project finance, continuous monitoring, project design, feasibility studies"
Formal Financial Accounting,https://www.coursera.org/learn/formal-financial-accounting,Business,['oktay-urcan'],Coursera,"formal financial accounting business financial statements, accounting, accounting records, financial reporting, general ledger, technical accounting, inventory accounting, accounts receivable, financial accounting, balance sheet, accounts payable, fixed asset, accrual accounting"
Formwork Practices,https://www.coursera.org/learn/formwork-practices,Physical Science And Engineering,['~113266557'],Coursera,"formwork practices physical science and engineering safety standards, building codes, engineering drawings, commercial construction, assembly drawing, architecture and construction, blueprint reading, construction management, engineering practices, construction, structural engineering, cost estimation, structural analysis, engineering calculations, construction estimating, construction engineering"
Formwork Systems,https://www.coursera.org/learn/formwork-systems,Physical Science And Engineering,['~113266557'],Coursera,"formwork systems physical science and engineering building codes, structural analysis, construction engineering, construction management, architectural drawing, materials science, construction, structural engineering, blueprint reading, safety standards"
FortiGate Administrator,https://www.coursera.org/learn/fortigate-administrator,Computer Science,['~144412719'],Coursera,"fortigate administrator computer science intrusion detection and prevention, security controls, system configuration, network monitoring, web servers, authentications, network routing, virtual private networks (vpn), firewall, network security, network administration, user accounts"
Fostering Engagement in the Age of Digital Distraction,https://www.coursera.org/learn/fostering-engagement-in-the-age-of-digital-distraction,Personal Development,['~145572030'],Coursera,"fostering engagement in the age of digital distraction personal development collaboration, creative problem-solving, education software and technology, innovation, teamwork, learning management systems, classroom management, motivational skills"
Foundation and Potential of AI in Healthcare,https://www.coursera.org/learn/foundation-and-potential-of-ai-in-healthcare,Health,['~160662776'],Coursera,"foundation and potential of ai in healthcare health health technology, machine learning, digital transformation, health care, health equity, artificial intelligence, responsible ai, healthcare industry knowledge, chronic diseases, predictive modeling, health informatics, health systems"
"Foundation Systems, Monitoring and Erection Methods",https://www.coursera.org/learn/foundation-systems-monitoring-and-erection-methods,Physical Science And Engineering,['~113266557'],Coursera,"foundation systems, monitoring and erection methods physical science and engineering environmental monitoring, continuous monitoring, construction engineering, property maintenance, maintenance, repair, and facility services, structural analysis, engineering, engineering calculations, engineering design process, engineering practices, architecture and construction, construction, failure analysis, civil engineering, structural engineering"
Foundational Mathematics for AI,https://www.coursera.org/learn/foundational-mathematics-for-ai,Data Science,['josephcutrone'],Coursera,"foundational mathematics for ai data science mathematical modeling, machine learning algorithms, calculus, artificial intelligence, integral calculus, regression analysis, descriptive statistics, linear algebra, probability distribution, artificial intelligence and machine learning (ai/ml), data-driven decision-making, statistics, advanced mathematics, algebra, exploratory data analysis, statistical analysis, data analysis, applied mathematics, probability, bayesian statistics"
Foundational Skills for Communicating About Health,https://www.coursera.org/learn/foundational-skills-communicating-health,Health,['brian-zikmund'],Coursera,"foundational skills for communicating about health health interpersonal communications, patient communication, health education, concision, non-verbal communication, public speaking, critical thinking, verbal communication skills, persuasive communication, communication strategies, storytelling, communication"
Foundations of Business Analysis,https://www.coursera.org/learn/foundations-business-analysis,Business,['~182707656'],Coursera,"foundations of business analysis business stakeholder management, business requirements, sap applications, communication, sap analytics cloud, agile methodology, stakeholder analysis, business strategy, business systems analysis, critical thinking, llm application, sap signavio, business process modeling, business analysis, business systems, requirements analysis, organizational strategy, stakeholder engagement, stakeholder communications, chatgpt"
The Foundations of Cybersecurity,https://www.coursera.org/learn/foundations-cybersecurity,Information Technology,"['herb-mattord', '~19202705']",Coursera,"the foundations of cybersecurity information technology vulnerability assessments, continuous improvement process, cyber security strategy, vulnerability management, intrusion detection and prevention, cybersecurity, cyber attacks, threat detection, firewall, cyber risk, cyber security policies, network security, security controls, virtual private networks (vpn)"
"Foundations: Data, Data, Everywhere",https://www.coursera.org/learn/foundations-data,Data Science,['google-career-certificates'],Coursera,"foundations: data, data, everywhere data science data cleansing, data ethics, spreadsheet software, analytics, data processing, data sharing, data visualization software, data visualization, tableau software, analytical skills, data analysis, google sheets, data collection, sql, business analytics, data-driven decision-making"
Foundations of Exercise and Nutrition,https://www.coursera.org/learn/foundations-exercise-nutrition,Health,['~28830175'],Coursera,"foundations of exercise and nutrition health injury prevention, nutrition and diet, exercise science, health education, physiology, coaching, safety training, goal setting, kinesiology, anatomy"
Foundations for Data Analytics Part 1,https://www.coursera.org/learn/foundations-for-data-analytics-part-1,Data Science,['~141976269'],Coursera,"foundations for data analytics part 1 data science data wrangling, algorithms, data structures, descriptive statistics, python programming, exploratory data analysis, data processing, data analysis, time series analysis and forecasting, unsupervised learning, data manipulation, pandas (python package), data visualization, programming principles, data cleansing"
Foundations in Heavy Industry Production,https://www.coursera.org/learn/foundations-in-heavy-industry-production,Physical Science And Engineering,['~113266557'],Coursera,"foundations in heavy industry production physical science and engineering manufacturing standards, safety standards, materials science, thermal management, failure analysis, design reviews, manufacturing processes, production process, manufacturing operations, technical standard"
Foundations of Agent-Based AI Systems,https://www.coursera.org/learn/foundations-of-agent-based-ai-systems,Data Science,['~187597289'],Coursera,"foundations of agent-based ai systems data science prototyping, business priorities, agentic systems, stakeholder communications, workflow management, artificial intelligence, system design and implementation, benchmarking, unified modeling language, solution architecture, performance metric, requirements analysis, solution design, performance analysis"
Foundations of AI and Machine Learning,https://www.coursera.org/learn/foundations-of-ai-and-machine-learning,Computer Science,['microsoft'],Coursera,"foundations of ai and machine learning computer science tensorflow, scalability, artificial intelligence and machine learning (ai/ml), data processing, application deployment, mlops (machine learning operations), pytorch (machine learning library), applied machine learning, artificial intelligence, data security, machine learning, infrastructure architecture, application frameworks, data pipelines, data cleansing, data management"
Foundations of Business Intelligence,https://www.coursera.org/learn/foundations-of-business-intelligence,Data Science,['google-career-certificates'],Coursera,"foundations of business intelligence data science real time data, project implementation, business analytics, business metrics, dashboard, data-driven decision-making, data modeling, stakeholder engagement, data pipelines, data analysis, data integration, business intelligence, key performance indicators (kpis), business process"
Foundations of Career Navigating and Coaching,https://www.coursera.org/learn/foundations-of-career-navigating-and-coaching,Social Sciences,['~117992727'],Coursera,"foundations of career navigating and coaching social sciences professional development, diversity and inclusion, relationship building, ethical standards and conduct, client services, active listening, crisis intervention, human centered design, empathy, goal setting, communication, coaching, workforce development"
Foundations of Coding Back-End,https://www.coursera.org/learn/foundations-of-coding-back-end,Computer Science,['microsoft'],Coursera,"foundations of coding back-end computer science data structures, integrated development environments, programming principles, version control, engineering software, c# (programming language), microsoft copilot, pseudocode, computational thinking, debugging, software engineering, algorithms, program development, back-end web development, git (version control system), github"
Foundations of Coding Front-End,https://www.coursera.org/learn/foundations-of-coding-front-end,Computer Science,['microsoft'],Coursera,"foundations of coding front-end computer science c# (programming language), data structures, pseudocode, computer programming, microsoft copilot, integrated development environments, programming principles, algorithms, web development, github, debugging, git (version control system), computational thinking, program development, front-end web development, software engineering, version control"
Foundations of Coding Full-Stack,https://www.coursera.org/learn/foundations-of-coding-full-stack,Computer Science,['microsoft'],Coursera,"foundations of coding full-stack computer science web design and development, c# (programming language), programming principles, back-end web development, data structures, microsoft copilot, debugging, version control, algorithms, computational thinking, pseudocode, github, program development, web development, git (version control system), full-stack web development, computer programming"
Foundations of Cybersecurity,https://www.coursera.org/learn/foundations-of-cybersecurity,Computer Science,['google-career-certificates'],Coursera,"foundations of cybersecurity computer science cyber risk, cybersecurity, security management, information assurance, incident response, security information and event management (siem), cyber security strategy, network analysis, cyber attacks, ethical standards and conduct, data ethics, security controls"
Foundations of Data Science,https://www.coursera.org/learn/foundations-of-data-science,Data Science,['google-career-certificates'],Coursera,"foundations of data science data science data ethics, workflow management, business analytics, project management, analytics, stakeholder communications, artificial intelligence, communication, data storytelling, data-driven decision-making, data analysis, data science, big data"
Foundations of Digital Marketing and E-commerce,https://www.coursera.org/learn/foundations-of-digital-marketing-and-e-commerce,Business,['google-career-certificates'],Coursera,"foundations of digital marketing and e-commerce business brand awareness, data-driven decision-making, e-commerce, data storytelling, content performance analysis, marketing, email marketing, branding, search engine optimization, business metrics, social media marketing, marketing strategy and techniques, digital marketing, target audience, marketing analytics, customer engagement, search engine marketing, goal setting, customer experience strategy (cx), performance measurement"
Foundations of Healthcare Systems Engineering,https://www.coursera.org/learn/foundations-of-healthcare-systems-engineering,Health,['~65414063'],Coursera,"foundations of healthcare systems engineering health health technology, systems engineering, medical devices, system testing, health systems, healthcare industry knowledge, concept of operations, systems integration, systems analysis, solution design, system requirements"
Foundations of Information Systems for Business,https://www.coursera.org/learn/foundations-of-information-systems-for-business,Information Technology,"['~114833631', '~120780868']",Coursera,"foundations of information systems for business information technology information systems, customer relationship management, business software, management information systems, information technology, enterprise resource planning, disaster recovery, data warehousing, business systems, business process management, business ethics, systems analysis, networking hardware, operating systems, computer hardware, e-commerce, business-to-consumer, security management, business technologies, data security"
Foundations of Insurance,https://www.coursera.org/learn/foundations-of-insurance,Business,['~164218954'],Coursera,"foundations of insurance business regulation and legal compliance, policy analysis, business ethics, ethical standards and conduct, insurance sales, risk management, underwriting, insurance policies, insurance, compliance management, business risk management"
Foundations of Machine Learning,https://www.coursera.org/learn/foundations-of-machine-learning-1,Data Science,['~185939614'],Coursera,"foundations of machine learning data science data processing, predictive analytics, machine learning, dimensionality reduction, machine learning algorithms, regression analysis, forecasting, data transformation, time series analysis and forecasting, statistical modeling, applied machine learning, unsupervised learning, scikit learn (machine learning library), data manipulation, feature engineering, predictive modeling, anomaly detection, data cleansing, supervised learning"
Mindfulness and Well-being: Foundations,https://www.coursera.org/learn/foundations-of-mindfulness,Health,['~58936390'],Coursera,"mindfulness and well-being: foundations health cognitive flexibility, persistence, overcoming obstacles, mindfulness, mental health, patience, emotional intelligence, resilience, mental concentration, self-awareness, personal development, stress management"
Mindfulness and Well-being: Living with Balance and Ease,https://www.coursera.org/learn/foundations-of-mindfulness-ii-living-with-balance-and-ease,Health,['~58936390'],Coursera,"mindfulness and well-being: living with balance and ease health emotional intelligence, growth mindedness, mental health, mindfulness, behavioral health, personal attributes, personal development, self-awareness, resilience, stress management, positivity"
Foundations of Modern Mining,https://www.coursera.org/learn/foundations-of-modern-mining,Physical Science And Engineering,"['~141793623', '~168526266']",Coursera,"foundations of modern mining physical science and engineering environment and resource management, operational analysis, sustainable development, manufacturing operations, workforce development, manufacturing and production, operations, environmental regulations, regulation and legal compliance, plant operations and management, environment health and safety, environment, prospecting and qualification, project closure, regulatory requirements"
Foundations of Music Promotion & Branding,https://www.coursera.org/learn/foundations-of-music-promotion-branding,Arts And Humanities,['~152682987'],Coursera,"foundations of music promotion & branding arts and humanities user research, digital marketing, branding, marketing, persona development, marketing strategies, promotional strategies, goal setting, brand strategy, marketing design, target audience, brand awareness, content creation, customer analysis, customer insights, social media"
Foundations of Neuroscience,https://www.coursera.org/learn/foundations-of-neuroscience,Social Sciences,"['~16938705', '~163694236']",Coursera,"foundations of neuroscience social sciences physiology, neurology, marketing psychology, decision making, advertising, persuasive communication, case studies, marketing effectiveness, consumer behaviour, influencing, anatomy, marketing, psychology, behavioral economics"
Foundations of Red Hat Cloud-native Development,https://www.coursera.org/learn/foundations-of-red-hat-cloud-native-development,Information Technology,['~95296645'],Coursera,"foundations of red hat cloud-native development information technology command-line interface, openshift, cloud platforms, cloud computing, containerization, continuous deployment, cloud-native computing, cloud applications, kubernetes, application deployment, docker (software)"
Core HR Concepts and Practices for SHRM Exams Prep,https://www.coursera.org/learn/foundations-of-shrm-certification,Business,['board-infinity'],Coursera,"core hr concepts and practices for shrm exams prep business organizational change, talent recruitment, workforce development, organizational development, virtual teams, human resources information system (hris)"
Foundations of Software Testing and Validation,https://www.coursera.org/learn/foundations-of-software-testing-and-validation,Information Technology,"['julianbrooks', '~141664854']",Coursera,"foundations of software testing and validation information technology functional testing, test planning, software development, user acceptance testing (uat), performance testing, integration testing, software quality assurance, software development life cycle, acceptance testing, software testing, quality assurance, unit testing, system testing, test case, usability testing, verification and validation"
Building Applications with Spring Boot and MVC Architecture,https://www.coursera.org/learn/foundations-of-spring-boot--mvc-architecture,Computer Science,['board-infinity'],Coursera,"building applications with spring boot and mvc architecture computer science application programming interface (api), software documentation, application deployment, java, databases, back-end web development"
Foundations of Statistical Learning & Algorithms,https://www.coursera.org/learn/foundations-of-statistical-learning--algorithms,Physical Science And Engineering,['~154112948'],Coursera,"foundations of statistical learning & algorithms physical science and engineering statistical machine learning, mathematical modeling, applied mathematics, algebra, linear algebra, statistical methods, probability, probability & statistics, mathematics and mathematical modeling, machine learning, bayesian statistics, general mathematics, statistical inference, statistical modeling, probability distribution"
Foundations of Strategy,https://www.coursera.org/learn/foundations-of-strategy-ie-business-school,Business,['~104766257'],Coursera,"foundations of strategy business strategic marketing, competitive analysis, economics, strategic thinking, business process, strategic planning, market dynamics, market analysis, business economics, resource management, business strategy"
Foundations of Public Health Practice: The Public Health Approach,https://www.coursera.org/learn/foundations-public-health-approach,Health,['richard-pinder'],Coursera,"foundations of public health practice: the public health approach health healthcare ethics, political sciences, health promotion, social determinants of health, public health and disease prevention, preventative care, social justice, health equity, epidemiology, public health, health disparities, health policy, program evaluation, health systems"
Foundations of Quantum Mechanics,https://www.coursera.org/learn/foundations-quantum-mechanics,Physical Science And Engineering,['won-park'],Coursera,"foundations of quantum mechanics physical science and engineering engineering analysis, physical science, physics, advanced mathematics, differential equations, mathematical modeling, applied mathematics, linear algebra"
"Foundations of Sports Analytics: Data, Representation, and Models in Sports",https://www.coursera.org/learn/foundations-sports-analytics,Data Science,"['~37873708', '~49269356']",Coursera,"foundations of sports analytics: data, representation, and models in sports data science statistical methods, data visualization, descriptive statistics, statistical hypothesis testing, python programming, data manipulation, data cleansing, statistical analysis, matplotlib, regression analysis, correlation analysis, scatter plots, r programming, probability & statistics, data analysis, pandas (python package)"
Foundations of User Experience (UX) Design,https://www.coursera.org/learn/foundations-user-experience-design,Computer Science,['google-career-certificates'],Coursera,"foundations of user experience (ux) design computer science sprint retrospectives, design thinking, persona (user experience), wireframing, prototyping, sprint planning, user research, user experience design, user centered design, user interface (ui), web content accessibility guidelines, usability"
Foundations of Finance,https://www.coursera.org/learn/foundationsfinance,Business,['~185289558'],Coursera,"foundations of finance business investment management, finance, cash flow forecasting, business risk management, financial reporting, financial statements, financial planning, business ethics, return on investment, financial management, financial acumen, risk management, stakeholder management, cash flows"
FPGA Architecture Based System for Industrial Application,https://www.coursera.org/learn/fpga-architecture-based-system-for-industrial-application-using-vivado,Physical Science And Engineering,['~113266557'],Coursera,"fpga architecture based system for industrial application physical science and engineering system design and implementation, real time data, field-programmable gate array (fpga), electronic hardware, communication systems, software development tools, serial peripheral interface, verification and validation, embedded systems, hardware design, software installation, control systems, internet of things"
Hardware Description Languages for FPGA Design,https://www.coursera.org/learn/fpga-hardware-description-languages,Physical Science And Engineering,"['tim-scherr', 'benjamin-spriggs']",Coursera,"hardware description languages for fpga design physical science and engineering functional testing, embedded systems, hardware architecture, technical design, system design and implementation, simulations, computational logic, verification and validation, debugging"
FPGA computing systems: Background knowledge and introductory materials,https://www.coursera.org/learn/fpga-intro,Computer Science,['santa'],Coursera,"fpga computing systems: background knowledge and introductory materials computer science application specific integrated circuits, cloud infrastructure, computer-aided design, distributed computing, field-programmable gate array (fpga), computer architecture, hardware design, systems design"
FPGA Softcore Processors and IP Acquisition,https://www.coursera.org/learn/fpga-softcore-proccessors-ip,Physical Science And Engineering,['tim-scherr'],Coursera,"fpga softcore processors and ip acquisition physical science and engineering computer architecture, hardware architecture, verification and validation, integrated development environments, system configuration, simulations, software development, debugging, system design and implementation, eclipse (software), embedded systems"
Fractions for Primary Education with PhET Simulations,https://www.coursera.org/learn/fractions-for-primary-education-with-phet-simulations,Social Sciences,"['zmbasu', '~108092128', '~138113682']",Coursera,"fractions for primary education with phet simulations social sciences arithmetic, mathematics education, simulations, systems of measurement, education software and technology"
"Speak Freely, Think Critically: The Free Speech Balance Act",https://www.coursera.org/learn/free-speech,Social Sciences,"['greg-lukianoff', 'terry', '~1327206', 'barboakley']",Coursera,"speak freely, think critically: the free speech balance act social sciences conflict management, social studies, emotional intelligence, responsible ai, neurology, critical thinking, innovation, psychology, media and communications, cultural diversity, interpersonal communications, political sciences, open mindset"
Free Will and Neuroscience,https://www.coursera.org/learn/free-will-and-neuroscience,Arts And Humanities,['petertse'],Coursera,"free will and neuroscience arts and humanities anatomy, physiology, biology, psychology, mental health diseases and disorders, human learning, neurology, experimentation, mindfulness"
Recent Advances in Freeform Electronics,https://www.coursera.org/learn/freeform-electronics,Physical Science And Engineering,['jang-ung-park'],Coursera,"recent advances in freeform electronics physical science and engineering electronic components, reliability, materials science, emerging technologies, display devices, electronic systems, manufacturing processes, biomedical technology, physics, electrical engineering, semiconductors, electronics"
Freelance Editing: Launch & Build Your Video Editing Career,https://www.coursera.org/learn/freelance-editing-launch--build-your-video-editing-career,Arts And Humanities,['~186501695'],Coursera,"freelance editing: launch & build your video editing career arts and humanities entrepreneurship, video editing, relationship management, personal development, cost estimation, self-motivation, professional networking, goal setting, client services, business systems, adaptability"
Freelance Editor Marketing: Attract Your Ideal Clients,https://www.coursera.org/learn/freelance-editor-marketing-attract-your-ideal-clients,Arts And Humanities,['~186501695'],Coursera,"freelance editor marketing: attract your ideal clients arts and humanities digital content, video editing, instagram, social media marketing, professional development, promotional strategies, portfolio management, branding, social media strategy"
Freelance Video Editing: Build Strong Client Relationships,https://www.coursera.org/learn/freelance-video-editing-build-strong-client-relationships,Arts And Humanities,['~186501695'],Coursera,"freelance video editing: build strong client relationships arts and humanities professional networking, expectation management, customer relationship building, constructive feedback, client services, rapport building, workflow management, active listening, relationship management, video production, sales presentation, video editing"
The French Revolution,https://www.coursera.org/learn/french-revolution,Arts And Humanities,['petermcphee'],Coursera,"the french revolution arts and humanities cultural diversity, european history, international relations, political sciences, world history, economics, social justice, social sciences"
From Excel to Power BI,https://www.coursera.org/learn/from-excel-to-power-bi,Information Technology,['keith-gibson'],Coursera,"from excel to power bi information technology data visualization, interactive data visualization, data transformation, data analysis expressions (dax), data visualization software, data sharing, business analytics, data import/export, dashboard, data analysis, data synthesis, data presentation, trend analysis, microsoft 365, data modeling, business intelligence, excel formulas, power bi"
From Likes to Leads: Interact with Customers Online,https://www.coursera.org/learn/from-likes-to-leads,Business,['google-career-certificates'],Coursera,"from likes to leads: interact with customers online business social media strategy, social media management, marketing analytics, brand awareness, digital advertising, customer engagement, content creation, social media marketing, target audience, digital marketing, social media campaigns"
From Sleep Disorders to Sleep Health,https://www.coursera.org/learn/from-sleep-disorders-to-sleep-health,Health,"['~152901773', 'chervinr', '~153170149']",Coursera,"from sleep disorders to sleep health health chronic diseases, mental health diseases and disorders, stress management, human development, health assessment, health disparities, positive airway pressure (cpap/bipap), mindfulness, cultural diversity, treatment planning, mental health, physiology, patient treatment"
From Wellhead to Refinery: Midstream Oil and Gas Processing,https://www.coursera.org/learn/from-wellhead-to-refinery-midstream-oil-and-gas-processing,Physical Science And Engineering,['~113266557'],Coursera,"from wellhead to refinery: midstream oil and gas processing physical science and engineering production process, oil and gas, three-phase, environmental regulations, petroleum industry, control systems, process engineering, water quality, hydraulics, chemical engineering, pump stations, equipment design"
Frontend for Java Full Stack Development,https://www.coursera.org/learn/frontend-development-for-java-full-stack,Computer Science,['board-infinity'],Coursera,"frontend for java full stack development computer science ui components, javascript frameworks, web design and development, software design patterns, hypertext markup language (html), javascript, angular, web applications, web development, front-end web development, maintainability, html and css, cascading style sheets (css)"
Frontiers in Dentistry,https://www.coursera.org/learn/frontiers-in-dentistry,Health,['urihy'],Coursera,"frontiers in dentistry health computer-aided design, oral health, biomedical technology, digital transformation, dental care, emerging technologies, medical imaging, health care, disabilities, dental procedures, oral and dental care, dentistry"
Frozen in the Ice: Exploring the Arctic,https://www.coursera.org/learn/frozen-in-the-ice,Physical Science And Engineering,"['~49159051', '~10205738']",Coursera,"frozen in the ice: exploring the arctic physical science and engineering research, hydrology, international relations, scientific methods, systems thinking, physical science, physics, climate change programs, mathematical modeling, environment, geographic information systems, environmental monitoring, biology, cultural sensitivity, climate change adaptation, data collection, chemistry, environmental science"
Full-Stack Integration,https://www.coursera.org/learn/full-stack-integration,Computer Science,['microsoft'],Coursera,"full-stack integration computer science application programming interface (api), real time data, debugging, middleware, performance tuning, microsoft copilot, restful api, event-driven programming, development environment, integration testing, asp.net, json, systems integration, server side, full-stack web development, web applications, back-end web development"
Full Stack Web Development,https://www.coursera.org/learn/fullstack-web-development,Computer Science,['~163527311'],Coursera,"full stack web development computer science responsive web design, web applications, application deployment, model view controller, amazon web services, html and css, front-end web development, web services, full-stack web development, application programming interface (api), back-end web development, spring framework, web development, spring boot, server side, javascript, restful api"
Functional Approach to Understanding Behavior,https://www.coursera.org/learn/functional-approach-to-understanding-behavior,Health,['~189052356'],Coursera,"functional approach to understanding behavior health applied behavior analysis, functional behavior assessment, behavioral health, instructional strategies"
Principles of fMRI 1,https://www.coursera.org/learn/functional-mri,Data Science,"['~7303121', 'martinlindquist']",Coursera,"principles of fmri 1 data science radiology, data processing, statistical modeling, statistics, research design, medical imaging, image analysis, data analysis, statistical analysis, magnetic resonance imaging, neurology"
